Match Number,R1,R2,R3,B1,B2,B3
1,34,38,44,3,17,1	
2,29,2,22,43,27,36	
3,31,39,30,28,6,13	
4,24,47,23,42,46,8	
5,4,45,10,50,12,21	
6,19,40,48,14,33,11	
7,37,41,9,26,20,49	
8,15,35,5,32,18,25	
9,16,22,45,7,31,1	
10,50,2,46,6,34,40	
11,8,38,29,10,11,26	
12,44,14,15,24,41,28	
13,25,39,20,23,4,43	
14,17,32,21,37,36,30	
15,47,13,9,35,7,19	
16,3,27,33,16,49,5	
17,18,12,20,42,48,22	
18,28,32,34,23,29,45	
19,15,10,17,2,31,47	
20,25,36,49,13,38,40	
21,35,26,24,48,21,16	
22,1,27,4,19,30,8	
23,43,44,46,12,9,33	
24,6,42,41,5,7,11	
25,14,50,37,3,18,39	
